CustomerID,ContractYears,ContractMonths,MRR
X8AKLL,5,1,1290.0
PT9UK1,2,1,1120.0
PT9UK1,3,1,1120.0
PT9UK1,4,1,1120.0
PT9UK1,5,1,1120.0
5UAU18,2,1,1960.0
5UAU18,3,1,1960.0
5UAU18,4,1,1960.0
5UAU18,5,1,1960.0
2HGJXA,2,1,2310.0
2HGJXA,3,1,2310.0
2HGJXA,4,1,2310.0
2HGJXA,5,1,2310.0
ADAX5V,2,1,1340.0
ADAX5V,3,1,1340.0
ADAX5V,4,1,1340.0
ADAX5V,5,1,1340.0
GFLP5C,2,1,1880.0
GFLP5C,3,1,1880.0
GFLP5C,4,1,1880.0
GFLP5C,5,1,1880.0
923XC6,2,1,1720.0
923XC6,3,1,1720.0
923XC6,4,1,1720.0
923XC6,5,1,1720.0
SOWZNN,2,1,820.0
SOWZNN,3,1,820.0
SOWZNN,4,1,820.0
SOWZNN,5,1,820.0
YTUDP0,2,1,1150.0
YTUDP0,3,1,1150.0
YTUDP0,5,1,1150.0
FXHZP0,2,1,2400.0
FXHZP0,3,1,2400.0
FXHZP0,4,1,2400.0
FXHZP0,5,1,2400.0
F0DMO5,2,1,2080.0
F0DMO5,3,1,2080.0
F0DMO5,4,1,2080.0
F0DMO5,5,1,2080.0
5ZWZMP,2,1,2420.0
5ZWZMP,3,1,2420.0
5ZWZMP,4,1,2420.0
5ZWZMP,5,1,2420.0
L9L20C,2,1,1280.0
L9L20C,3,1,1280.0
L9L20C,4,1,1280.0
L9L20C,5,1,1280.0
4C2ER5,2,1,1860.0
4C2ER5,3,1,1860.0
4C2ER5,4,1,1860.0
4C2ER5,5,1,1860.0
NN5WX0,2,1,1740.0
NN5WX0,3,1,1740.0
NN5WX0,4,1,1740.0
NN5WX0,5,1,1740.0
VKYYPJ,2,1,2060.0
VKYYPJ,3,1,2060.0
VKYYPJ,4,1,2060.0
VKYYPJ,5,1,2060.0
ZU9YD7,2,1,790.0
ZU9YD7,3,1,790.0
ZU9YD7,4,1,790.0
ZU9YD7,5,1,790.0
4AWE2N,2,1,1120.0
4AWE2N,3,1,1120.0
4AWE2N,4,1,1120.0
4AWE2N,5,1,1120.0
1W1PYR,2,1,1730.0
1W1PYR,3,1,1730.0
1W1PYR,4,1,1730.0
1W1PYR,5,1,1730.0
2AZGM0,2,1,2200.0
2AZGM0,3,1,2200.0
2AZGM0,4,1,2200.0
2AZGM0,5,1,2200.0
M4THRR,2,1,1520.0
M4THRR,3,1,1520.0
M4THRR,4,1,1520.0
M4THRR,5,1,1520.0
1JY261,2,1,1800.0
1JY261,3,1,1800.0
1JY261,4,1,1800.0
1JY261,5,1,1800.0
GNCAWV,2,1,960.0
GNCAWV,4,1,960.0
GNCAWV,5,1,960.0
BDZMX4,2,1,1360.0
BDZMX4,3,1,1360.0
BDZMX4,4,1,1360.0
BDZMX4,5,1,1360.0
JS7Z4D,2,1,1260.0
JS7Z4D,3,1,1260.0
JS7Z4D,4,1,1260.0
JS7Z4D,5,1,1260.0
S9NHLL,2,1,970.0
S9NHLL,3,1,970.0
S9NHLL,4,1,970.0
S9NHLL,5,1,970.0
ZEJRY2,2,1,1940.0
ZEJRY2,3,1,1940.0
ZEJRY2,4,1,1940.0
ZEJRY2,5,1,1940.0
SGX7J7,2,1,2600.0
SGX7J7,3,1,2600.0
SGX7J7,4,1,2600.0
SGX7J7,5,1,2600.0
5NIGDH,2,1,980.0
5NIGDH,3,1,980.0
5NIGDH,4,1,980.0
5NIGDH,5,1,980.0
418K09,2,1,670.0
418K09,3,1,670.0
418K09,4,1,670.0
418K09,5,1,670.0
SJ4GFV,2,1,420.0
SJ4GFV,3,1,420.0
SJ4GFV,4,1,420.0
SJ4GFV,5,1,420.0
GCD3J7,2,1,940.0
GCD3J7,3,1,940.0
GCD3J7,4,1,940.0
GCD3J7,5,1,940.0
9DHZ46,3,1,580.0
9DHZ46,4,1,580.0
9DHZ46,5,1,580.0
OQKK8S,2,1,1370.0
OQKK8S,3,1,1370.0
OQKK8S,4,1,1370.0
OQKK8S,5,1,1370.0
VMBPL1,2,1,1970.0
VMBPL1,3,1,1970.0
VMBPL1,4,1,1970.0
VMBPL1,5,1,1970.0
ZH1DCC,2,1,1610.0
ZH1DCC,3,1,1610.0
ZH1DCC,4,1,1610.0
ZH1DCC,5,1,1610.0
H8ISWA,2,1,1440.0
H8ISWA,3,1,1440.0
H8ISWA,4,1,1440.0
H8ISWA,5,1,1440.0
JVZEAM,2,1,1780.0
JVZEAM,3,1,1780.0
JVZEAM,4,1,1780.0
JVZEAM,5,1,1780.0
RRBX5Q,2,1,1390.0
RRBX5Q,3,1,1390.0
RRBX5Q,4,1,1390.0
RRBX5Q,5,1,1390.0
4Y72WW,2,1,980.0
4Y72WW,2,1,980.0
4Y72WW,3,1,980.0
4Y72WW,4,1,980.0
4Y72WW,5,1,980.0
TCKENE,2,1,1880.0
TCKENE,3,1,1880.0
TCKENE,4,1,1880.0
TCKENE,5,1,1880.0
TCKENE,5,1,1880.0
9KCD5B,2,1,890.0
9KCD5B,3,1,890.0
9KCD5B,4,1,890.0
9KCD5B,5,1,890.0
MJRT8B,2,1,1650.0
MJRT8B,3,1,1650.0
MJRT8B,4,1,1650.0
MJRT8B,5,1,1650.0
QQUV9Y,2,1,1500.0
QQUV9Y,3,1,1500.0
QQUV9Y,4,1,1500.0
QQUV9Y,5,1,1500.0
ALVQMT,2,1,980.0
ALVQMT,3,1,980.0
ALVQMT,4,1,980.0
ALVQMT,5,1,980.0
R36ZO8,2,1,1240.0
R36ZO8,3,1,1240.0
R36ZO8,4,1,1240.0
R36ZO8,5,1,1240.0
JD57NQ,2,1,1070.0
JD57NQ,3,1,1070.0
JD57NQ,4,1,1070.0
JD57NQ,5,1,1070.0
B8J9TM,2,1,1200.0
B8J9TM,3,1,1200.0
B8J9TM,4,1,1200.0
B8J9TM,5,1,1200.0
VW11XX,2,1,1740.0
VW11XX,3,1,1740.0
VW11XX,4,1,1740.0
VW11XX,5,1,1740.0
B2BOI9,2,1,2660.0
B2BOI9,3,1,2660.0
B2BOI9,5,1,2660.0
Q3JQ3J,2,1,1560.0
Q3JQ3J,3,1,1560.0
Q3JQ3J,4,1,1560.0
Q3JQ3J,5,1,1560.0
WUDARO,2,1,690.0
WUDARO,3,1,690.0
WUDARO,4,1,690.0
WUDARO,5,1,690.0
SRGDB3,2,1,2160.0
SRGDB3,3,1,2160.0
SRGDB3,4,1,2160.0
SRGDB3,5,1,2160.0
DH9I0K,2,1,940.0
DH9I0K,3,1,940.0
DH9I0K,4,1,940.0
DH9I0K,5,1,940.0
N0PFEG,2,1,1290.0
N0PFEG,3,1,1290.0
N0PFEG,4,1,1290.0
N0PFEG,5,1,1290.0
GV2MS6,2,1,940.0
GV2MS6,3,1,940.0
GV2MS6,4,1,940.0
GV2MS6,5,1,940.0
XHYC3A,2,1,1750.0
XHYC3A,3,1,1750.0
XHYC3A,4,1,1750.0
XHYC3A,5,1,1750.0
Y1L4K8,2,1,2740.0
Y1L4K8,3,1,2740.0
Y1L4K8,4,1,2740.0
Y1L4K8,5,1,2740.0
1TJW60,2,1,1390.0
1TJW60,3,1,1390.0
1TJW60,4,1,1390.0
1TJW60,5,1,1390.0
GACZ7A,2,1,1040.0
GACZ7A,3,1,1040.0
GACZ7A,4,1,1040.0
GACZ7A,5,1,1040.0
0I23GQ,2,1,2060.0
0I23GQ,3,1,2060.0
0I23GQ,5,1,2060.0
SAU9H6,2,1,1090.0
SAU9H6,3,1,1090.0
SAU9H6,4,1,1090.0
SAU9H6,5,1,1090.0
63GWNH,2,1,1970.0
63GWNH,3,1,1970.0
63GWNH,4,1,1970.0
63GWNH,5,1,1970.0
285BH8,2,1,2420.0
285BH8,3,1,2420.0
285BH8,4,1,2420.0
285BH8,5,1,2420.0
ZZSD7R,2,1,810.0
ZZSD7R,3,1,810.0
ZZSD7R,4,1,810.0
ZZSD7R,5,1,810.0
SL7EZX,2,1,1670.0
SL7EZX,3,1,1670.0
SL7EZX,4,1,1670.0
SL7EZX,5,1,1670.0
IPAJ5U,2,1,1280.0
IPAJ5U,3,1,1280.0
IPAJ5U,4,1,1280.0
IPAJ5U,5,1,1280.0
L3NPL0,2,1,1440.0
L3NPL0,3,1,1440.0
L3NPL0,4,1,1440.0
L3NPL0,5,1,1440.0
AHZPE8,2,1,1610.0
AHZPE8,3,1,1610.0
AHZPE8,4,1,1610.0
AHZPE8,5,1,1610.0
2KYMEC,2,1,2030.0
2KYMEC,3,1,2030.0
2KYMEC,4,1,2030.0
2KYMEC,5,1,2030.0
87PUAT,2,1,1940.0
87PUAT,3,1,1940.0
87PUAT,4,1,1940.0
87PUAT,5,1,1940.0
NX0HPS,2,1,290.0
NX0HPS,3,1,290.0
NX0HPS,4,1,290.0
NX0HPS,5,1,290.0
MKFVG2,2,1,1850.0
MKFVG2,3,1,1850.0
MKFVG2,4,1,1850.0
MKFVG2,5,1,1850.0
L5KU1A,2,1,1790.0
L5KU1A,3,1,1790.0
L5KU1A,4,1,1790.0
L5KU1A,5,1,1790.0
YOWRBE,2,1,1530.0
YOWRBE,3,1,1530.0
YOWRBE,4,1,1530.0
YOWRBE,5,1,1530.0
TYRNNO,2,1,940.0
TYRNNO,3,1,940.0
TYRNNO,4,1,940.0
TYRNNO,5,1,940.0
5GBGT9,2,1,1580.0
5GBGT9,3,1,1580.0
5GBGT9,4,1,1580.0
5GBGT9,5,1,1580.0
NSMX9G,2,1,1860.0
NSMX9G,3,1,1860.0
NSMX9G,4,1,1860.0
NSMX9G,5,1,1860.0
GI4QIX,2,1,940.0
GI4QIX,3,1,940.0
GI4QIX,4,1,940.0
GI4QIX,5,1,940.0
KNDY55,2,1,1560.0
KNDY55,3,1,1560.0
KNDY55,4,1,1560.0
KNDY55,5,1,1560.0
N5PHIZ,2,1,1180.0
N5PHIZ,3,1,1180.0
N5PHIZ,4,1,1180.0
N5PHIZ,5,1,1180.0
OEUUC3,2,1,1070.0
OEUUC3,3,1,1070.0
OEUUC3,4,1,1070.0
OEUUC3,5,1,1070.0
3BNB0J,2,1,1250.0
3BNB0J,3,1,1250.0
3BNB0J,4,1,1250.0
PM7YYI,2,1,2290.0
PM7YYI,3,1,2290.0
PM7YYI,4,1,2290.0
PM7YYI,5,1,2290.0
EBX5TT,2,1,1400.0
EBX5TT,3,1,1400.0
EBX5TT,4,1,1400.0
EBX5TT,5,1,1400.0
20LNFK,2,1,880.0
20LNFK,3,1,880.0
20LNFK,4,1,880.0
20LNFK,5,1,880.0
H4DDVI,2,1,2130.0
H4DDVI,3,1,2130.0
H4DDVI,4,1,2130.0
H4DDVI,5,1,2130.0
HLT78J,2,1,1220.0
HLT78J,3,1,1220.0
HLT78J,4,1,1220.0
HLT78J,5,1,1220.0
HLT78J,5,1,1220.0
ZDABOU,2,1,1960.0
ZDABOU,3,1,1960.0
ZDABOU,4,1,1960.0
ZDABOU,5,1,1960.0
TZM1LN,2,1,860.0
TZM1LN,3,1,860.0
TZM1LN,4,1,860.0
TZM1LN,5,1,860.0
OPV2VB,2,1,980.0
OPV2VB,3,1,980.0
OPV2VB,4,1,980.0
OPV2VB,5,1,980.0
DBK9AS,2,1,1820.0
DBK9AS,3,1,1820.0
DBK9AS,4,1,1820.0
DBK9AS,5,1,1820.0
6JWJ5C,2,1,1500.0
6JWJ5C,3,1,1500.0
6JWJ5C,4,1,1500.0
6JWJ5C,5,1,1500.0
ZY80E4,2,1,2230.0
ZY80E4,3,1,2230.0
ZY80E4,4,1,2230.0
ZY80E4,5,1,2230.0
FL465G,2,1,1870.0
FL465G,3,1,1870.0
FL465G,4,1,1870.0
FL465G,5,1,1870.0
BW8AYJ,2,1,2870.0
BW8AYJ,3,1,2870.0
BW8AYJ,4,1,2870.0
BW8AYJ,5,1,2870.0
S4CQQY,2,1,1930.0
S4CQQY,3,1,1930.0
S4CQQY,4,1,1930.0
S4CQQY,5,1,1930.0
DOWT5Q,2,1,2040.0
DOWT5Q,3,1,2040.0
DOWT5Q,4,1,2040.0
DOWT5Q,5,1,2040.0
WIKX72,2,1,1590.0
WIKX72,3,1,1590.0
WIKX72,4,1,1590.0
WIKX72,5,1,1590.0
WIKX72,5,1,1590.0
P93326,2,1,2910.0
P93326,3,1,2910.0
P93326,4,1,2910.0
P93326,5,1,2910.0
FOQ9K5,2,1,1500.0
FOQ9K5,3,1,1500.0
FOQ9K5,4,1,1500.0
FOQ9K5,5,1,1500.0
6ZYD6M,2,1,2310.0
6ZYD6M,3,1,2310.0
6ZYD6M,4,1,2310.0
6ZYD6M,5,1,2310.0
RO8Q2G,2,1,470.0
RO8Q2G,3,1,470.0
RO8Q2G,4,1,470.0
RO8Q2G,5,1,470.0
R8LLHR,2,1,1190.0
R8LLHR,3,1,1190.0
R8LLHR,4,1,1190.0
R8LLHR,5,1,1190.0
AIUWW2,2,1,1390.0
AIUWW2,3,1,1390.0
AIUWW2,4,1,1390.0
AIUWW2,5,1,1390.0
QI8YAZ,2,1,1850.0
QI8YAZ,3,1,1850.0
QI8YAZ,4,1,1850.0
QI8YAZ,5,1,1850.0
DIAIEQ,2,1,1540.0
DIAIEQ,3,1,1540.0
DIAIEQ,4,1,1540.0
DIAIEQ,5,1,1540.0
BYYKAR,2,1,1610.0
BYYKAR,3,1,1610.0
BYYKAR,4,1,1610.0
BYYKAR,5,1,1610.0
YF9PQC,2,1,1650.0
YF9PQC,3,1,1650.0
YF9PQC,4,1,1650.0
YF9PQC,5,1,1650.0
K8GCKT,2,1,700.0
K8GCKT,3,1,700.0
K8GCKT,4,1,700.0
K8GCKT,5,1,700.0
1VY5RO,2,1,1920.0
1VY5RO,3,1,1920.0
1VY5RO,4,1,1920.0
1VY5RO,5,1,1920.0
4QFASG,2,1,700.0
4QFASG,3,1,700.0
4QFASG,4,1,700.0
4QFASG,5,1,700.0
97SK3J,2,1,1140.0
97SK3J,3,1,1140.0
97SK3J,4,1,1140.0
97SK3J,5,1,1140.0
TBY8LV,2,1,2040.0
TBY8LV,3,1,2040.0
TBY8LV,4,1,2040.0
TBY8LV,5,1,2040.0
IBKNFH,2,1,1300.0
IBKNFH,3,1,1300.0
IBKNFH,4,1,1300.0
IBKNFH,5,1,1300.0
GA4UN3,2,1,470.0
GA4UN3,3,1,470.0
GA4UN3,4,1,470.0
DA5RQC,2,1,1580.0
DA5RQC,3,1,1580.0
DA5RQC,4,1,1580.0
DA5RQC,5,1,1580.0
4RGPB3,2,1,830.0
4RGPB3,3,1,830.0
4RGPB3,4,1,830.0
4RGPB3,5,1,830.0
CHO9YJ,2,1,1250.0
CHO9YJ,3,1,1250.0
CHO9YJ,4,1,1250.0
CHO9YJ,5,1,1250.0
W8U3HG,2,1,1630.0
W8U3HG,3,1,1630.0
W8U3HG,4,1,1630.0
W8U3HG,5,1,1630.0
5F2OP7,2,1,1860.0
5F2OP7,3,1,1860.0
5F2OP7,4,1,1860.0
5F2OP7,5,1,1860.0
SJ6K4O,2,1,2420.0
SJ6K4O,3,1,2420.0
SJ6K4O,4,1,2420.0
SJ6K4O,5,1,2420.0
XVDYGY,2,1,1510.0
XVDYGY,3,1,1510.0
XVDYGY,4,1,1510.0
XVDYGY,5,1,1510.0
05DSID,2,1,1630.0
05DSID,3,1,1630.0
05DSID,4,1,1630.0
05DSID,5,1,1630.0
974SHJ,2,1,1860.0
974SHJ,3,1,1860.0
974SHJ,4,1,1860.0
974SHJ,5,1,1860.0
LM12BF,3,1,960.0
LM12BF,4,1,960.0
LM12BF,5,1,960.0
XDM4ZE,2,1,1200.0
XDM4ZE,3,1,1200.0
XDM4ZE,4,1,1200.0
XDM4ZE,5,1,1200.0
TV1AMS,2,1,1250.0
TV1AMS,3,1,1250.0
TV1AMS,4,1,1250.0
TV1AMS,5,1,1250.0
B6PVA8,2,1,1840.0
B6PVA8,3,1,1840.0
B6PVA8,4,1,1840.0
B6PVA8,5,1,1840.0
6JQIS0,2,1,1520.0
6JQIS0,3,1,1520.0
6JQIS0,4,1,1520.0
6JQIS0,5,1,1520.0
T5JK8P,2,1,1780.0
T5JK8P,3,1,1780.0
T5JK8P,4,1,1780.0
T5JK8P,5,1,1780.0
UQYHHI,2,1,1730.0
UQYHHI,3,1,1730.0
UQYHHI,4,1,1730.0
UQYHHI,5,1,1730.0
4MKFWC,2,1,2180.0
4MKFWC,3,1,2180.0
4MKFWC,4,1,2180.0
4MKFWC,5,1,2180.0
XLHFD8,2,1,2890.0
XLHFD8,3,1,2890.0
XLHFD8,4,1,2890.0
XLHFD8,5,1,2890.0
W4RF3M,2,1,1740.0
W4RF3M,3,1,1740.0
W4RF3M,4,1,1740.0
W4RF3M,5,1,1740.0
DJBBAD,2,1,1490.0
DJBBAD,3,1,1490.0
DJBBAD,4,1,1490.0
DJBBAD,5,1,1490.0
B6QJIN,2,1,1830.0
B6QJIN,4,1,1830.0
B6QJIN,5,1,1830.0
3FCOWX,2,1,2470.0
3FCOWX,3,1,2470.0
3FCOWX,4,1,2470.0
3FCOWX,5,1,2470.0
HFY8RG,2,1,2190.0
HFY8RG,3,1,2190.0
HFY8RG,4,1,2190.0
HFY8RG,5,1,2190.0
YRAQWR,2,1,1590.0
YRAQWR,3,1,1590.0
YRAQWR,4,1,1590.0
YRAQWR,5,1,1590.0
WAUNWD,2,1,1500.0
WAUNWD,3,1,1500.0
WAUNWD,4,1,1500.0
WAUNWD,5,1,1500.0
9WNO5P,2,1,1120.0
9WNO5P,3,1,1120.0
9WNO5P,4,1,1120.0
9WNO5P,5,1,1120.0
TO6T1X,2,1,1460.0
TO6T1X,3,1,1460.0
TO6T1X,4,1,1460.0
TO6T1X,5,1,1460.0
XFDLAP,2,1,1660.0
XFDLAP,3,1,1660.0
XFDLAP,4,1,1660.0
XFDLAP,5,1,1660.0
YMC9L1,2,1,1560.0
YMC9L1,3,1,1560.0
YMC9L1,4,1,1560.0
YMC9L1,5,1,1560.0
XS97RD,2,1,1610.0
XS97RD,3,1,1610.0
XS97RD,4,1,1610.0
XS97RD,5,1,1610.0
4O66YM,2,1,2490.0
4O66YM,3,1,2490.0
4O66YM,4,1,2490.0
Z310TS,2,1,980.0
Z310TS,3,1,980.0
Z310TS,3,1,980.0
Z310TS,4,1,980.0
Z310TS,5,1,980.0
J2R7GD,2,1,1230.0
J2R7GD,3,1,1230.0
J2R7GD,4,1,1230.0
J2R7GD,5,1,1230.0
FB56AJ,2,1,1870.0
FB56AJ,3,1,1870.0
FB56AJ,4,1,1870.0
FB56AJ,5,1,1870.0
6IOC1H,2,1,1130.0
6IOC1H,3,1,1130.0
6IOC1H,4,1,1130.0
6IOC1H,5,1,1130.0
OCDA4L,2,1,1770.0
OCDA4L,3,1,1770.0
OCDA4L,4,1,1770.0
OCDA4L,4,1,1770.0
OCDA4L,5,1,1770.0
H66UHH,2,1,1270.0
H66UHH,3,1,1270.0
H66UHH,4,1,1270.0
H66UHH,5,1,1270.0
M3VT7G,2,1,1400.0
M3VT7G,3,1,1400.0
M3VT7G,5,1,1400.0
K0C1FH,2,1,1400.0
K0C1FH,3,1,1400.0
K0C1FH,4,1,1400.0
K0C1FH,5,1,1400.0
7H0VV0,2,1,2120.0
7H0VV0,3,1,2120.0
7H0VV0,4,1,2120.0
7H0VV0,5,1,2120.0
D6KKA5,2,1,1200.0
D6KKA5,3,1,1200.0
D6KKA5,4,1,1200.0
D6KKA5,5,1,1200.0
XN9T2H,2,1,2150.0
XN9T2H,3,1,2150.0
XN9T2H,4,1,2150.0
XN9T2H,5,1,2150.0
T2PGJC,2,1,620.0
T2PGJC,3,1,620.0
T2PGJC,4,1,620.0
T2PGJC,5,1,620.0
VZ86XT,2,1,310.0
VZ86XT,4,1,310.0
VZ86XT,5,1,310.0
9G7YLF,2,1,1720.0
9G7YLF,3,1,1720.0
9G7YLF,4,1,1720.0
9G7YLF,5,1,1720.0
QIJOSY,2,1,930.0
QIJOSY,3,1,930.0
QIJOSY,4,1,930.0
QIJOSY,5,1,930.0
Q8KR16,2,1,1760.0
Q8KR16,3,1,1760.0
Q8KR16,4,1,1760.0
Q8KR16,5,1,1760.0
WCFBOM,2,1,1260.0
WCFBOM,3,1,1260.0
WCFBOM,4,1,1260.0
WCFBOM,5,1,1260.0
GCW6CD,2,1,1990.0
GCW6CD,3,1,1990.0
GCW6CD,4,1,1990.0
GCW6CD,5,1,1990.0
W4IBF8,3,1,1210.0
W4IBF8,4,1,1210.0
W4IBF8,5,1,1210.0
7278DW,2,1,2030.0
7278DW,3,1,2030.0
7278DW,4,1,2030.0
7278DW,5,1,2030.0
9A3JY1,2,1,1830.0
9A3JY1,3,1,1830.0
9A3JY1,4,1,1830.0
9A3JY1,5,1,1830.0
0IF7BF,2,1,1060.0
0IF7BF,3,1,1060.0
0IF7BF,4,1,1060.0
0IF7BF,5,1,1060.0
6OO245,2,1,1390.0
6OO245,3,1,1390.0
6OO245,4,1,1390.0
6OO245,5,1,1390.0
SKW83K,2,1,1300.0
SKW83K,3,1,1300.0
SKW83K,4,1,1300.0
SKW83K,5,1,1300.0
4S8MOT,2,1,1290.0
4S8MOT,3,1,1290.0
4S8MOT,4,1,1290.0
4S8MOT,5,1,1290.0
G6SKE7,2,1,1290.0
G6SKE7,3,1,1290.0
G6SKE7,4,1,1290.0
G6SKE7,5,1,1290.0
5YZ4D5,2,1,940.0
5YZ4D5,3,1,940.0
5YZ4D5,4,1,940.0
5YZ4D5,5,1,940.0
6G6N34,2,1,430.0
6G6N34,3,1,430.0
6G6N34,4,1,430.0
6G6N34,5,1,430.0
1F4LTH,2,1,1130.0
1F4LTH,3,1,1130.0
1F4LTH,4,1,1130.0
1F4LTH,5,1,1130.0
QXFR7L,2,1,1820.0
QXFR7L,3,1,1820.0
QXFR7L,4,1,1820.0
QXFR7L,5,1,1820.0
3MJF86,2,1,2000.0
3MJF86,3,1,2000.0
3MJF86,4,1,2000.0
3MJF86,5,1,2000.0
UW3C7D,2,1,1670.0
UW3C7D,3,1,1670.0
UW3C7D,4,1,1670.0
UW3C7D,5,1,1670.0
A1KWU4,2,1,2100.0
A1KWU4,3,1,2100.0
A1KWU4,4,1,2100.0
A1KWU4,5,1,2100.0
448DW0,2,1,1090.0
448DW0,3,1,1090.0
448DW0,4,1,1090.0
448DW0,5,1,1090.0
5GVE92,2,1,210.0
5GVE92,3,1,210.0
5GVE92,4,1,210.0
5GVE92,5,1,210.0
7PYHHY,2,1,2460.0
7PYHHY,3,1,2460.0
7PYHHY,4,1,2460.0
7PYHHY,5,1,2460.0
OE4YRE,2,1,1630.0
OE4YRE,3,1,1630.0
OE4YRE,4,1,1630.0
OE4YRE,5,1,1630.0
P05HA2,3,1,1500.0
P05HA2,4,1,1500.0
P05HA2,5,1,1500.0
13R1RT,2,1,2180.0
13R1RT,3,1,2180.0
13R1RT,4,1,2180.0
13R1RT,5,1,2180.0
YHSHJ3,3,1,2140.0
YHSHJ3,4,1,2140.0
YHSHJ3,5,1,2140.0
3M71E5,2,1,1170.0
3M71E5,3,1,1170.0
3M71E5,4,1,1170.0
3M71E5,5,1,1170.0
OIR37P,2,1,1350.0
OIR37P,3,1,1350.0
OIR37P,4,1,1350.0
OIR37P,5,1,1350.0
H19JZK,2,1,1290.0
H19JZK,3,1,1290.0
H19JZK,4,1,1290.0
H19JZK,5,1,1290.0
5GFQCG,2,1,930.0
5GFQCG,3,1,930.0
5GFQCG,4,1,930.0
5GFQCG,5,1,930.0
